city,geoid,Total Population (2020-2024),Total Housing Units (2020-2024),Rental Vacancy Rate (2020-2024),Median Household Income (2020-2024),likely_reason,confidence
Philadelphia,8020,2480,1009,0.0,134490.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,8022,9172,3595,22.916666666666664,117679.0,High rental vacancy - economic distress or redevelopment,Medium
Philadelphia,8032,242,83,0.0,198274.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,8038,351,159,0.0,90179.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,8039,38,13,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,8041,650,259,60.60606060606061,99688.0,Extremely high rental vacancy - area in transition or special circumstances,High
Philadelphia,8042,131,106,0.0,170912.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,8056,5434,1760,0.0,171389.0,High income area - possible luxury/custom housing market,Medium
Philadelphia,8061,4508,1614,0.0,150658.0,High income area - possible luxury/custom housing market,Medium
Philadelphia,8064,17,9,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,8072,164,79,0.0,68203.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,8073,20,16,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,8074,160,76,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,8089,4231,1548,0.0,115117.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,8090,9815,3276,3.180212014134275,115701.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,8095,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,8224,223,77,0.0,96250.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,8328,1476,574,0.0,101583.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,18070,223,145,0.0,74638.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18081,85,33,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,18912,213,151,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18913,243,145,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18920,393,156,0.0,152813.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,18921,160,86,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18927,239,135,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18930,1892,876,0.0,127072.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,18932,436,150,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18933,105,65,0.0,226083.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,18935,273,104,0.0,113214.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18936,296,91,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,18946,689,226,0.0,189333.0,High income area - possible luxury/custom housing market,Medium
Philadelphia,18950,262,127,0.0,225795.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,18962,531,191,0.0,94536.0,Limited housing - possibly mixed-use or institutional area,Medium
Philadelphia,18977,4569,1837,0.0,211719.0,High income area - possible luxury/custom housing market,Medium
Philadelphia,18980,308,92,0.0,145278.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19017,355,137,0.0,166917.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,19035,3937,1379,0.0,,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,19052,631,205,0.0,88831.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,19060,11524,4046,0.0,185043.0,High income area - possible luxury/custom housing market,Medium
Philadelphia,19085,11230,1806,0.0,,High occupancy - possible group housing or institutional,Medium
Philadelphia,19108,154,78,0.0,193654.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,19109,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19112,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19113,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19316,389,69,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,High
Philadelphia,19319,792,161,0.0,,Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,Medium
Philadelphia,19345,768,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Philadelphia,19367,21,3,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; High occupancy - possible group housing or institutional,High
Philadelphia,19369,122,69,0.0,132730.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19373,2357,759,100.0,192708.0,Extremely high rental vacancy - area in transition or special circumstances; High income area - possible luxury/custom housing market,High
Philadelphia,19375,234,96,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19383,6537,180,0.0,23514.0,Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,Medium
Philadelphia,19435,75,44,0.0,111667.0,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19436,435,309,0.0,77159.0,Low population - possibly rural or special use area,High
Philadelphia,19437,531,103,0.0,215817.0,Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional; High income area - possible luxury/custom housing market,Medium
Philadelphia,19442,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19456,286,124,0.0,205500.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,19457,148,42,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19472,54,34,0.0,113056.0,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19474,222,114,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19477,136,52,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19490,507,190,0.0,,Limited housing - possibly mixed-use or institutional area,Medium
Philadelphia,19710,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19716,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19717,6036,0,0.0,,Very few housing units - likely commercial/industrial zone,High
Philadelphia,19730,425,170,0.0,112083.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19731,655,235,0.0,71282.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,19732,89,54,0.0,236000.0,Very low population - likely industrial/commercial area; Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,High
Philadelphia,19733,186,87,0.0,82604.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
Philadelphia,19735,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,19736,127,39,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
Philadelphia,21902,340,66,0.0,,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area; High occupancy - possible group housing or institutional,High
Philadelphia,21917,2233,818,0.0,96750.0,Insufficient rental market data - possibly owner-dominated area,Low
Philadelphia,21930,25,45,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; Low occupancy rate - possible vacation homes or investment properties,High
SanAntonio,78004,547,175,0.0,165353.0,Limited housing - possibly mixed-use or institutional area; High income area - possible luxury/custom housing market,Medium
SanAntonio,78008,234,178,0.0,55440.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanAntonio,78011,1757,719,7.142857142857142,29664.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78012,328,165,0.0,43571.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanAntonio,78027,318,180,0.0,111119.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanAntonio,78039,1862,768,8.620689655172415,96250.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78050,529,193,0.0,74205.0,Limited housing - possibly mixed-use or institutional area,Medium
SanAntonio,78056,2526,1048,0.0,119946.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78057,881,449,0.0,66134.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78062,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanAntonio,78066,259,139,0.0,87604.0,Low population - possibly rural or special use area; Limited housing - possibly mixed-use or institutional area,High
SanAntonio,78074,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanAntonio,78123,2127,1064,0.0,97553.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78143,0,14,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone; Low occupancy rate - possible vacation homes or investment properties,High
SanAntonio,78150,0,0,0.0,,Very low population - likely industrial/commercial area; Very few housing units - likely commercial/industrial zone,High
SanAntonio,78161,579,214,0.0,79904.0,Insufficient rental market data - possibly owner-dominated area,Low
SanAntonio,78243,232,0,0.0,,Low population - possibly rural or special use area; Very few housing units - likely commercial/industrial zone,High
